mean_x,std_x,mean_y,std_y,mean_z,std_z,median_x,median_y,median_z,rms_x,rms_y,rms_z,Activity,window_size,extra_cols,classifier,accuracy
-8.37038106435294,4.535195493528247,-4.23109228300076,2.842271439429684,2.17253167778347,2.7336910683328632,-8.4741775,-3.93561585,1.72022275,9.52004607798708,5.097121623295473,3.4918420279353315,1.0,,,,
-8.564652475594519,4.291523869358471,-4.40781179279734,2.6451939422834583,1.71643720943706,2.158111643412583,-8.558602,-4.042793,1.4795233,9.579689407751216,5.140608504157499,2.7574630658221047,1.0,,,,
-8.721620260062302,4.022191382149089,-4.27412395643512,2.5391804773288302,1.70680144746494,2.0456810501070186,-8.590935,-3.839815,1.5040723,9.60440958494397,4.97147594698199,2.6642038472750857,1.0,,,,
-8.739274547812299,3.966673888530253,-4.147271866448469,2.4987606734078267,1.64833099811238,1.9483080905320784,-8.6208725,-3.6631823,1.5040723,9.597365334298138,4.841866255608937,2.5520383020187825,1.0,,,,
-8.4425511466694,4.309759945305638,-4.19618079863617,2.5984259121158675,1.75826526864726,1.8991819386654356,-8.582553,-3.62785585,1.64238465,9.478960947819631,4.935559797591157,2.588124570240818,1.0,,,,
-7.4524692320414,5.19371292170768,-4.5593924562063695,2.850078800887408,1.63916250432097,1.939436284860964,-8.358019500000001,-3.8200562,1.5358063,9.083719038347512,5.376895827610887,2.539343777161157,1.0,,,,
-7.492599698258401,5.140820606330589,-4.4202009863885,2.7120041718001024,1.69396665891415,1.7937596264825617,-8.3843645,-3.6703675,1.54658385,9.086643315593228,5.185859946810271,2.467204215121161,1.0,,,,
-7.3151901825381795,5.075623010122563,-4.4151837787515,2.6951872409366397,1.59790218560175,1.7985611796613337,-8.297545,-3.6392322,1.4920971,8.903592328245303,5.1728021481454345,2.405849893849493,1.0,,,,
-6.78549880175218,5.3169078474226215,-4.6164966648693,2.784538552947988,1.42206667777803,1.7871832970955264,-8.123906,-3.7110827,1.3897100999999998,8.62047000148858,5.391261114952887,2.283921577783239,1.0,,,,
-6.697104857002182,5.234713599061111,-4.6406803740702,2.749073531289865,1.44109175434832,1.7340583234860605,-8.092771,-3.7098854,1.4585669,8.50020234640785,5.393822356614914,2.2547070128293845,1.0,,,,
-6.959849400247481,5.184052563298776,-4.439933667216,2.605659444022638,1.4041215139728,1.5867435089861697,-8.21851,-3.5757642,1.4681469,8.678358407738747,5.148055177200657,2.1187997048591005,1.0,,,,
