accuracy,cols
100.00,std_x mean_x mean_y median_x rms_y
100.00,std_x mean_x mean_y median_x rms_z
97.83,std_x mean_x mean_y median_y std_y
100.00,std_x mean_x mean_y median_y mean_z
100.00,std_x mean_x mean_y median_y std_z
98.91,std_x mean_x mean_y median_y median_x
97.83,std_x mean_x mean_y median_y median_z
98.91,std_x mean_x mean_y median_y rms_x
97.83,std_x mean_x mean_y median_y rms_y
100.00,std_x mean_x mean_y median_y rms_z
98.91,std_x mean_x mean_y rms_z std_y
100.00,std_x mean_x mean_y rms_z mean_z
100.00,std_x mean_x mean_y rms_z std_z
100.00,std_x mean_x mean_y rms_z median_x
100.00,std_x mean_x mean_y rms_z median_y
98.91,std_x mean_x mean_y rms_z median_z
100.00,std_x mean_x mean_y rms_z rms_x
98.91,std_x mean_x mean_y rms_z rms_y
98.91,std_x mean_x mean_y std_y
98.91,std_x mean_x mean_y mean_z
98.91,std_x mean_x mean_y std_z
100.00,std_x mean_x mean_y median_x
100.00,std_x mean_x mean_y median_y
97.83,std_x mean_x mean_y median_z
94.57,std_x mean_x mean_y rms_x
97.83,std_x mean_x mean_y rms_y
96.74,std_x mean_x mean_y rms_z
97.83,std_x mean_x mean_y median_x std_y
100.00,std_x mean_x mean_y median_x mean_z
100.00,std_x mean_x mean_y median_x std_z
100.00,std_x mean_x mean_y median_x median_y
97.83,std_x mean_x mean_y median_x median_z
98.91,std_x mean_x mean_y median_x rms_x
100.00,std_x mean_x mean_y median_x rms_y
100.00,std_x mean_x mean_y median_x rms_z
96.74,std_x mean_x mean_y median_x std_y
98.91,std_x mean_x mean_y median_x mean_z
100.00,std_x mean_x mean_y median_x std_z
100.00,std_x mean_x mean_y median_x median_y
100.00,std_x mean_x mean_y median_x median_z
97.83,std_x mean_x mean_y median_x rms_x
100.00,std_x mean_x mean_y median_x rms_y
100.00,std_x mean_x mean_y median_x rms_z
97.83,std_x mean_x mean_y median_y std_y
100.00,std_x mean_x mean_y median_y mean_z
98.91,std_x mean_x mean_y median_y std_z
100.00,std_x mean_x mean_y median_y median_x
97.83,std_x mean_x mean_y median_y median_z
97.83,std_x mean_x mean_y median_y rms_x
96.74,std_x mean_x mean_y median_y rms_y
100.00,std_x mean_x mean_y median_y rms_z
100.00,std_x mean_x median_x mean_y
97.83,std_x mean_x median_x std_y
96.74,std_x mean_x median_x mean_z
100.00,std_x mean_x median_x std_z
98.91,std_x mean_x median_x median_y
96.74,std_x mean_x median_x median_z
95.65,std_x mean_x median_x rms_x
100.00,std_x mean_x median_x rms_y
100.00,std_x mean_x median_x rms_z
98.91,std_x mean_x median_x mean_y std_y
100.00,std_x mean_x median_x mean_y mean_z
100.00,std_x mean_x median_x mean_y std_z
100.00,std_x mean_x median_x mean_y median_y
100.00,std_x mean_x median_x mean_y median_z
100.00,std_x mean_x median_x mean_y rms_x
98.91,std_x mean_x median_x mean_y rms_y
100.00,std_x mean_x median_x mean_y rms_z
97.83,std_x mean_x median_x mean_y std_y
98.91,std_x mean_x median_x mean_y mean_z
100.00,std_x mean_x median_x mean_y std_z
100.00,std_x mean_x median_x mean_y median_y
97.83,std_x mean_x median_x mean_y median_z
98.91,std_x mean_x median_x mean_y rms_x
98.91,std_x mean_x median_x mean_y rms_y
100.00,std_x mean_x median_x mean_y rms_z
100.00,std_x mean_x median_x std_z mean_y
98.91,std_x mean_x median_x std_z std_y
97.83,std_x mean_x median_x std_z mean_z
100.00,std_x mean_x median_x std_z median_y
97.83,std_x mean_x median_x std_z median_z
100.00,std_x mean_x median_x std_z rms_x
98.91,std_x mean_x median_x std_z rms_y
100.00,std_x mean_x median_x std_z rms_z
98.91,std_x mean_x median_x rms_y mean_y
98.91,std_x mean_x median_x rms_y std_y
97.83,std_x mean_x median_x rms_y mean_z
100.00,std_x mean_x median_x rms_y std_z
100.00,std_x mean_x median_x rms_y median_y
100.00,std_x mean_x median_x rms_y median_z
100.00,std_x mean_x median_x rms_y rms_x
100.00,std_x mean_x median_x rms_y rms_z
100.00,std_x mean_x median_x rms_z mean_y
98.91,std_x mean_x median_x rms_z std_y
96.74,std_x mean_x median_x rms_z mean_z
100.00,std_x mean_x median_x rms_z std_z
100.00,std_x mean_x median_x rms_z median_y
97.83,std_x mean_x median_x rms_z median_z
100.00,std_x mean_x median_x rms_z rms_x
100.00,std_x mean_x median_x rms_z rms_y
100.00,std_x mean_x median_y mean_y
96.74,std_x mean_x median_y std_y
97.83,std_x mean_x median_y mean_z
98.91,std_x mean_x median_y std_z
98.91,std_x mean_x median_y median_x
98.91,std_x mean_x median_y median_z
96.74,std_x mean_x median_y rms_x
100.00,std_x mean_x median_y rms_y
98.91,std_x mean_x median_y rms_z
97.83,std_x mean_x median_y mean_y std_y
97.83,std_x mean_x median_y mean_y mean_z
100.00,std_x mean_x median_y mean_y std_z
100.00,std_x mean_x median_y mean_y median_x
98.91,std_x mean_x median_y mean_y median_z
97.83,std_x mean_x median_y mean_y rms_x
97.83,std_x mean_x median_y mean_y rms_y
100.00,std_x mean_x median_y mean_y rms_z
97.83,std_x mean_x median_y mean_y std_y
100.00,std_x mean_x median_y mean_y mean_z
100.00,std_x mean_x median_y mean_y std_z
100.00,std_x mean_x median_y mean_y median_x
100.00,std_x mean_x median_y mean_y median_z
97.83,std_x mean_x median_y mean_y rms_x
98.91,std_x mean_x median_y mean_y rms_y
100.00,std_x mean_x median_y mean_y rms_z
97.83,std_x mean_x median_y rms_y mean_y
96.74,std_x mean_x median_y rms_y std_y
100.00,std_x mean_x median_y rms_y mean_z
100.00,std_x mean_x median_y rms_y std_z
100.00,std_x mean_x median_y rms_y median_x
98.91,std_x mean_x median_y rms_y median_z
98.91,std_x mean_x median_y rms_y rms_x
100.00,std_x mean_x median_y rms_y rms_z
95.65,std_x mean_x rms_y mean_y
97.83,std_x mean_x rms_y std_y
98.91,std_x mean_x rms_y mean_z
100.00,std_x mean_x rms_y std_z
98.91,std_x mean_x rms_y median_x
98.91,std_x mean_x rms_y median_y
98.91,std_x mean_x rms_y median_z
98.91,std_x mean_x rms_y rms_x
96.74,std_x mean_x rms_y rms_z
98.91,std_x mean_x rms_y std_z mean_y
97.83,std_x mean_x rms_y std_z std_y
98.91,std_x mean_x rms_y std_z mean_z
100.00,std_x mean_x rms_y std_z median_x
100.00,std_x mean_x rms_y std_z median_y
100.00,std_x mean_x rms_y std_z median_z
100.00,std_x mean_x rms_y std_z rms_x
97.83,std_x mean_x rms_y std_z rms_z
100.00,std_x mean_x rms_y std_z mean_y
98.91,std_x mean_x rms_y std_z std_y
100.00,std_x mean_x rms_y std_z mean_z
100.00,std_x mean_x rms_y std_z median_x
100.00,std_x mean_x rms_y std_z median_y
98.91,std_x mean_x rms_y std_z median_z
100.00,std_x mean_x rms_y std_z rms_x
100.00,std_x mean_x rms_y std_z rms_z
100.00,std_x mean_x rms_z mean_y
97.83,std_x mean_x rms_z std_y
97.83,std_x mean_x rms_z mean_z
98.91,std_x mean_x rms_z std_z
98.91,std_x mean_x rms_z median_x
100.00,std_x mean_x rms_z median_y
97.83,std_x mean_x rms_z median_z
96.74,std_x mean_x rms_z rms_x
98.91,std_x mean_x rms_z rms_y
97.83,std_x mean_x rms_z mean_y std_y
100.00,std_x mean_x rms_z mean_y mean_z
100.00,std_x mean_x rms_z mean_y std_z
100.00,std_x mean_x rms_z mean_y median_x
98.91,std_x mean_x rms_z mean_y median_y
98.91,std_x mean_x rms_z mean_y median_z
100.00,std_x mean_x rms_z mean_y rms_x
98.91,std_x mean_x rms_z mean_y rms_y
98.91,std_x mean_x rms_z mean_y std_y
97.83,std_x mean_x rms_z mean_y mean_z
100.00,std_x mean_x rms_z mean_y std_z
100.00,std_x mean_x rms_z mean_y median_x
100.00,std_x mean_x rms_z mean_y median_y
98.91,std_x mean_x rms_z mean_y median_z
98.91,std_x mean_x rms_z mean_y rms_x
98.91,std_x mean_x rms_z mean_y rms_y
100.00,std_x mean_x rms_z median_y mean_y
97.83,std_x mean_x rms_z median_y std_y
98.91,std_x mean_x rms_z median_y mean_z
100.00,std_x mean_x rms_z median_y std_z
100.00,std_x mean_x rms_z median_y median_x
98.91,std_x mean_x rms_z median_y median_z
98.91,std_x mean_x rms_z median_y rms_x
100.00,std_x mean_x rms_z median_y rms_y
100.00,std_x mean_x mean_y
96.74,std_x mean_x std_y
93.48,std_x mean_x mean_z
98.91,std_x mean_x std_z
97.83,std_x mean_x median_x
100.00,std_x mean_x median_y
96.74,std_x mean_x median_z
95.65,std_x mean_x rms_x
97.83,std_x mean_x rms_y
98.91,std_x mean_x rms_z
96.74,std_x mean_x mean_y std_y
100.00,std_x mean_x mean_y mean_z
98.91,std_x mean_x mean_y std_z
100.00,std_x mean_x mean_y median_x
100.00,std_x mean_x mean_y median_y
98.91,std_x mean_x mean_y median_z
97.83,std_x mean_x mean_y rms_x
97.83,std_x mean_x mean_y rms_y
98.91,std_x mean_x mean_y rms_z
98.91,std_x mean_x mean_y std_y
100.00,std_x mean_x mean_y mean_z
98.91,std_x mean_x mean_y std_z
98.91,std_x mean_x mean_y median_x
100.00,std_x mean_x mean_y median_y
96.74,std_x mean_x mean_y median_z
97.83,std_x mean_x mean_y rms_x
98.91,std_x mean_x mean_y rms_y
100.00,std_x mean_x mean_y rms_z
96.74,std_x mean_x median_y mean_y
97.83,std_x mean_x median_y std_y
100.00,std_x mean_x median_y mean_z
98.91,std_x mean_x median_y std_z
98.91,std_x mean_x median_y median_x
98.91,std_x mean_x median_y median_z
95.65,std_x mean_x median_y rms_x
100.00,std_x mean_x median_y rms_y
100.00,std_x mean_x median_y rms_z
