accuracy,cols
62.26,mean_x
72.64,std_x
59.43,mean_y
66.98,std_y
66.98,mean_z
68.87,std_z
67.92,median_x
59.43,median_y
77.36,median_z
63.21,rms_x
66.98,rms_y
66.98,rms_z
87.74,median_z mean_x
89.62,median_z std_x
84.91,median_z mean_y
83.02,median_z std_y
76.42,median_z mean_z
79.25,median_z std_z
83.96,median_z median_x
85.85,median_z median_y
86.79,median_z rms_x
88.68,median_z rms_y
77.36,median_z rms_z
90.57,median_z std_x mean_x
89.62,median_z std_x mean_y
92.45,median_z std_x std_y
89.62,median_z std_x mean_z
87.74,median_z std_x std_z
88.68,median_z std_x median_x
92.45,median_z std_x median_y
90.57,median_z std_x rms_x
86.79,median_z std_x rms_y
86.79,median_z std_x rms_z
92.45,median_z std_x std_y mean_x
92.45,median_z std_x std_y mean_y
91.51,median_z std_x std_y mean_z
91.51,median_z std_x std_y std_z
90.57,median_z std_x std_y median_x
92.45,median_z std_x std_y median_y
91.51,median_z std_x std_y rms_x
89.62,median_z std_x std_y rms_y
91.51,median_z std_x std_y rms_z
93.40,median_z std_x std_y mean_x
91.51,median_z std_x std_y mean_y
88.68,median_z std_x std_y mean_z
94.34,median_z std_x std_y std_z
91.51,median_z std_x std_y median_x
91.51,median_z std_x std_y median_y
93.40,median_z std_x std_y rms_x
89.62,median_z std_x std_y rms_y
91.51,median_z std_x std_y rms_z
92.45,median_z std_x std_y std_z mean_x
92.45,median_z std_x std_y std_z mean_y
92.45,median_z std_x std_y std_z mean_z
89.62,median_z std_x std_y std_z median_x
92.45,median_z std_x std_y std_z median_y
93.40,median_z std_x std_y std_z rms_x
91.51,median_z std_x std_y std_z rms_y
92.45,median_z std_x std_y std_z rms_z
93.40,median_z std_x std_y std_z mean_x
92.45,median_z std_x std_y std_z mean_y
89.62,median_z std_x std_y std_z mean_z
91.51,median_z std_x std_y std_z median_x
91.51,median_z std_x std_y std_z median_y
93.40,median_z std_x std_y std_z rms_x
90.57,median_z std_x std_y std_z rms_y
91.51,median_z std_x std_y std_z rms_z
90.57,median_z std_x median_y mean_x
90.57,median_z std_x median_y mean_y
91.51,median_z std_x median_y std_y
87.74,median_z std_x median_y mean_z
89.62,median_z std_x median_y std_z
88.68,median_z std_x median_y median_x
90.57,median_z std_x median_y rms_x
87.74,median_z std_x median_y rms_y
88.68,median_z std_x median_y rms_z
