@relation features_window_size_4000

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {hand_wash,not_hand_wash}

@data
-3.045296,1.574025,-6.944533,2.300647,-2.871957,4.762769,hand_wash
-3.164688,2.023364,-7.055325,2.352089,-2.61523,4.535068,hand_wash
-2.864939,1.802095,-7.150889,2.714546,-1.588698,5.07856,hand_wash
-2.126336,1.313437,-7.77791,1.303185,-3.861299,2.550485,hand_wash
-2.865093,2.168901,-5.873345,2.168043,-4.33866,4.666176,hand_wash
-3.241808,2.527394,-6.032053,2.911638,-4.604914,4.039307,hand_wash
-4.559821,2.268057,-6.490093,3.675148,-1.118421,6.146035,hand_wash
-2.390453,1.879317,-7.519271,2.888884,-1.88316,4.46502,hand_wash
0.015569,3.585888,-3.759398,1.570764,8.207414,1.730245,not_hand_wash
-1.557317,2.413819,-4.011973,0.848009,8.666691,0.66763,not_hand_wash
-2.304385,0.848863,-4.104514,0.578421,8.809009,0.460188,not_hand_wash
-1.361637,1.514103,-3.449942,1.505003,9.077305,0.683376,not_hand_wash
-0.567541,1.675652,-3.245512,1.464185,9.205136,0.686428,not_hand_wash
0.223754,1.433503,-3.037591,1.388493,9.33572,0.663335,not_hand_wash
0.940185,0.369871,-2.765299,1.135554,9.507276,0.448321,not_hand_wash
0.942764,0.049116,-3.232214,0.050135,9.415682,0.050599,not_hand_wash
0.943848,0.047462,-3.231913,0.054468,9.41555,0.049306,not_hand_wash
0.949725,0.047823,-3.241866,0.059481,9.409736,0.050454,not_hand_wash
0.954515,0.048203,-3.254115,0.062926,9.403244,0.05093,not_hand_wash
0.957197,0.048292,-3.275983,0.061247,9.39359,0.050615,not_hand_wash
0.958185,0.045987,-3.292487,0.051225,9.38514,0.04879,not_hand_wash
1.641029,1.925565,-3.096172,0.795081,8.910312,1.855732,not_hand_wash
1.821362,1.886755,-2.771141,0.910473,8.990088,1.881332,not_hand_wash
1.987041,1.832086,-2.453921,0.890717,9.070659,1.903198,not_hand_wash
2.151265,1.760369,-2.139257,0.746724,9.152465,1.921633,not_hand_wash
1.630332,0.059576,-2.02668,0.058945,9.706341,0.049956,not_hand_wash
1.612191,0.045831,-2.044269,0.048605,9.705163,0.048774,not_hand_wash
1.606545,0.045766,-2.049559,0.047608,9.704368,0.048399,not_hand_wash
1.601732,0.04583,-2.054146,0.046938,9.704151,0.048081,not_hand_wash
1.598025,0.046045,-2.056896,0.047272,9.703416,0.047999,not_hand_wash
1.593145,0.046581,-2.062426,0.048301,9.703155,0.047888,not_hand_wash
2.506899,2.230228,-1.942206,1.07762,8.935179,1.994938,not_hand_wash
2.819367,2.456998,-2.924793,2.495196,7.965152,2.437067,not_hand_wash
2.647054,2.559914,-4.540055,3.35868,6.534983,2.681975,not_hand_wash
1.336065,4.062387,-4.951756,3.477141,5.910177,2.336831,not_hand_wash
0.655274,2.257385,-6.544353,3.212464,1.554594,5.720335,not_hand_wash
2.152573,1.843926,-7.045077,2.704326,0.604156,4.977232,not_hand_wash
1.602536,2.579532,-6.972705,2.710247,-0.346697,4.971638,not_hand_wash
1.105698,3.117262,-7.748885,1.811143,-0.229697,4.107744,not_hand_wash
0.842645,3.380176,-7.397732,2.149058,1.844035,4.547942,not_hand_wash
0.155655,2.965107,-7.147101,2.353191,1.014781,5.556163,not_hand_wash
0.482865,3.075266,-6.857198,2.473558,0.51956,5.751015,not_hand_wash
0.828032,3.088661,-6.344382,3.009374,0.682528,5.971796,not_hand_wash
0.52822,2.99074,-6.088668,2.903717,0.926082,6.242159,not_hand_wash
-0.106866,2.937191,-6.41839,3.013315,2.444337,5.494205,not_hand_wash
-0.905282,2.59412,-6.615677,3.052441,4.080195,4.570216,not_hand_wash
-1.414161,2.62312,-6.363034,3.616124,3.613116,4.906149,not_hand_wash
-2.002751,2.980168,-6.289361,3.627932,1.083338,5.664429,not_hand_wash
-4.073922,4.394586,-4.899631,3.836988,0.551262,5.582132,not_hand_wash
-3.148953,5.260544,-4.172678,4.470014,1.016432,5.613308,not_hand_wash
-2.651613,5.59608,-4.432788,3.978471,-0.383501,5.659641,not_hand_wash
-2.655837,5.73636,-4.426414,4.126224,0.914768,5.433945,not_hand_wash
-0.398611,4.31576,-5.328986,4.047893,2.419172,5.760282,not_hand_wash
-1.188705,4.179592,-5.391737,3.433089,2.618648,5.954467,not_hand_wash
-1.715435,4.326876,-5.213685,3.250536,4.364357,4.937904,not_hand_wash
-0.413391,4.027274,-4.674849,3.075122,6.363444,3.84264,not_hand_wash
0.251623,3.8276,-3.893828,2.561599,7.192042,3.622025,not_hand_wash
1.132023,3.207906,-3.590851,1.492042,8.096694,2.762344,not_hand_wash
1.767707,1.202343,-2.918108,0.714839,9.284186,0.4175,not_hand_wash
0.92773,1.591283,-2.75271,0.984225,9.418825,0.517632,not_hand_wash
0.253043,1.439921,-2.768282,1.021609,9.502597,0.527753,not_hand_wash
-0.381023,0.873515,-2.810296,1.045946,9.575207,0.485919,not_hand_wash
-0.575269,0.46617,-3.022554,0.876027,9.539167,0.387028,not_hand_wash
-0.639209,0.545782,-2.774279,1.13285,9.593281,0.343223,not_hand_wash
-1.877617,2.936791,-2.415885,1.73412,8.704264,2.808089,not_hand_wash
-3.146005,5.003262,-2.333686,2.21676,6.935431,4.041846,not_hand_wash
-5.729925,5.879492,-2.224069,2.332925,4.973919,4.31314,not_hand_wash
-8.047255,5.619725,-2.458241,2.334359,2.907623,3.457885,not_hand_wash
-0.679575,4.528382,-3.884512,4.59416,4.895212,4.180204,not_hand_wash
-0.153303,3.706284,-2.24126,5.8475,5.801219,3.616844,not_hand_wash
-0.112216,3.119105,0.521448,5.508224,7.594074,2.311208,not_hand_wash
-1.405868,2.852553,2.725888,4.172228,8.04898,2.712686,not_hand_wash
-1.772585,3.056425,2.773551,4.173023,7.512568,3.60025,not_hand_wash
-0.04679,4.032593,-0.104743,5.626858,5.932215,4.281896,not_hand_wash
1.850905,3.807848,-3.028524,5.620334,4.407606,4.204012,not_hand_wash
3.039432,2.771098,-5.739833,4.468217,3.313468,3.212167,not_hand_wash
4.046394,0.856585,-7.983168,0.497159,2.057679,1.257594,not_hand_wash
3.662066,0.70904,-8.176835,0.427676,2.194085,1.131622,not_hand_wash
3.290653,0.463274,-8.384484,0.309565,2.098771,1.045977,not_hand_wash
3.302289,0.374691,-8.44663,0.252732,1.886223,0.810512,not_hand_wash
3.095379,0.308252,-8.483063,0.25917,2.22336,0.601896,not_hand_wash
2.959806,0.328529,-7.786574,2.230991,3.056805,2.161275,not_hand_wash
