@relation features_window_size_1000_extra_cols_True_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
3.567863,2.464434,-7.03754,3.951784,2.957002,3.307976,4.029022,-7.162306,2.371668,4.336252,8.071156,4.436955,'outdoor walk'
1.09729,7.35825,-6.470998,3.54175,2.998009,3.159233,3.15484,-6.264174,2.807562,7.439616,7.376843,4.35532,'outdoor walk'
-10.657206,2.44287,-3.99098,2.535502,2.38183,1.696472,-10.587783,-3.267405,2.366878,10.933602,4.728286,2.924232,'outdoor walk'
-10.6613,2.07419,-3.825172,2.284163,2.600218,1.594248,-10.276429,-3.432662,2.592609,10.861196,4.45526,3.050043,'outdoor walk'
-6.836739,8.938299,-4.690201,3.410875,1.931801,2.878722,-9.941726,-4.266129,1.920207,11.253186,5.799315,3.466828,'outdoor walk'
-12.715615,3.990412,-4.539534,4.056806,2.529615,2.182798,-12.385844,-4.242178,2.08247,13.327049,6.088107,3.341191,'outdoor walk'
-13.353393,4.724657,-4.360865,4.829098,2.483696,2.265341,-13.800102,-4.12123,2.140549,14.164586,6.506714,3.361624,'outdoor walk'
-12.698353,4.249152,-4.177528,3.943148,2.809872,2.344347,-12.675042,-3.675756,2.396816,13.390424,5.744577,3.659418,'outdoor walk'
-12.051963,3.114162,-4.072797,3.538929,2.598087,1.980713,-11.686498,-3.394341,2.340533,12.447804,5.395525,3.266999,'outdoor walk'
-9.656356,2.157137,-3.179351,1.848897,1.783048,1.512971,-9.419612,-2.76505,1.845363,9.894365,3.677865,2.338449,'outdoor walk'
-9.791091,1.706698,-1.192187,1.455642,2.096044,1.236758,-9.760303,-1.296903,1.824406,9.938727,1.881542,2.433716,'outdoor walk'
-9.655338,3.103145,-1.303013,2.01813,2.404692,2.028484,-9.772278,-1.513652,1.929188,10.141748,2.402226,3.145996,'outdoor walk'
-9.734365,3.011812,-1.229628,1.89386,2.282486,1.729484,-9.977052,-1.305286,1.908232,10.189646,2.258028,2.863714,'outdoor walk'
-9.759895,3.113392,-1.254315,1.998472,2.38859,1.886583,-9.811796,-1.417852,1.930985,10.24445,2.35949,3.043773,'outdoor walk'
-9.685584,3.116351,-1.098548,1.900367,2.389638,1.913592,-9.705816,-1.235231,1.826202,10.174585,2.19504,3.061406,'outdoor walk'
-8.520307,3.630353,-3.040904,3.637146,2.541229,2.503049,-8.350834,-2.165098,2.039359,9.261485,4.740878,3.566946,'outdoor walk'
-5.612337,2.449824,-7.002763,2.800744,3.659777,2.549079,-5.724097,-6.733597,3.436254,6.123721,7.542072,4.460019,'outdoor walk'
-6.333806,2.286624,-6.864243,2.609071,2.795261,2.052101,-6.355783,-6.260581,2.806963,6.733925,7.34337,3.467651,'outdoor walk'
-6.472261,2.3463,-6.803615,2.549318,2.911034,2.087168,-6.623426,-6.35219,2.917134,6.884424,7.265549,3.581953,'outdoor walk'
-6.385952,1.991575,-6.838077,2.256844,3.127215,1.958037,-6.394103,-6.336024,3.314108,6.689302,7.200877,3.689632,'outdoor walk'
-6.356563,2.070261,-6.899726,2.378794,2.918901,2.003636,-6.350993,-6.447393,3.013533,6.685198,7.298279,3.540416,'outdoor walk'
-6.491164,1.963843,-6.902168,2.229505,2.401643,2.063013,-6.379134,-6.400091,2.56327,6.781732,7.253318,3.166056,'outdoor walk'
-8.046027,4.844351,-6.263921,3.412513,2.269802,2.11863,-6.595285,-6.368956,2.245331,9.391821,7.133158,3.104931,'outdoor walk'
-10.809481,2.638669,-3.747192,2.680593,2.69698,1.561298,-10.409354,-3.494333,2.565066,11.12688,4.60728,3.116304,'outdoor walk'
-7.610337,7.598495,-4.291239,2.600442,2.320294,1.610566,-9.624985,-3.939807,2.169888,10.754272,5.017672,2.82448,'outdoor walk'
-10.646932,3.858348,-3.562423,2.715217,2.781861,1.929604,-9.817784,-3.33267,2.49561,11.324488,4.479203,3.385576,'outdoor walk'
-13.064223,6.493362,-4.415513,5.307979,2.231379,2.363392,-11.843372,-3.900888,2.032773,14.588957,6.904448,3.250334,'outdoor walk'
-11.801062,4.253674,-3.959862,3.4794,2.612112,1.543168,-11.128459,-3.700904,2.381248,12.544274,5.271312,3.033892,'outdoor walk'
-10.879164,3.35289,-3.726767,2.795208,2.720971,1.565026,-10.139914,-3.57756,2.5004,11.384116,4.658538,3.138947,'outdoor walk'
-11.042361,4.122974,-4.340526,3.46634,2.619844,1.718354,-10.679392,-4.304449,2.436932,11.786969,5.554789,3.133101,'outdoor walk'
-11.087376,3.767031,-3.838972,3.17634,2.693896,1.611993,-10.510543,-3.603906,2.46208,11.709844,4.982654,3.139363,'outdoor walk'
-7.623588,8.056634,-3.744195,3.443566,2.443225,2.520261,-9.496253,-3.278782,2.41418,11.091818,5.086958,3.510138,'outdoor walk'
-3.974776,7.38138,-4.604099,1.943208,1.384473,1.923627,-8.140073,-4.556525,1.615441,8.383533,4.997378,2.370044,'outdoor walk'
-5.45967,3.996083,-6.506141,1.945385,1.207453,1.194266,-8.169412,-5.139113,1.812431,6.765846,6.790758,1.698297,'outdoor walk'
0.649921,0.269283,-9.138597,0.211042,-1.416018,0.718498,0.602946,-9.086704,-1.749562,0.703499,9.141033,1.587875,'outdoor walk'
0.518852,0.281267,-9.029007,0.095131,-1.992081,0.187494,0.427511,-9.029223,-2.042952,0.590185,9.029508,2.000885,'outdoor walk'
0.095474,0.260864,-9.130293,0.072884,-1.688137,0.104569,0.02874,-9.128617,-1.687291,0.277787,9.130584,1.691372,'outdoor walk'
3.211813,4.05212,-5.771221,4.576674,0.934376,2.887879,0.334105,-9.068143,-1.512455,5.17063,7.365659,3.035277,'outdoor walk'
8.095383,0.946342,-3.219881,2.497285,2.336479,1.944646,8.351434,-3.117118,2.801574,8.150508,4.074809,3.039866,'outdoor walk'
0.580989,7.233529,-5.3169,2.472208,0.893161,2.27646,6.234236,-5.992339,1.022075,7.256824,5.863552,2.445405,'outdoor walk'
-9.456483,0.050096,-1.4961,0.08965,3.242611,0.078063,-9.459129,-1.50048,3.246449,9.456616,1.498784,3.24355,'outdoor walk'
-9.431867,0.048781,-1.52077,0.065467,3.309778,0.071959,-9.431587,-1.51964,3.311114,9.431993,1.522179,3.31056,'outdoor walk'
-9.388237,0.063771,-1.573067,0.091082,3.421782,0.106221,-9.387279,-1.574725,3.444038,9.388454,1.575701,3.423431,'outdoor walk'
-9.377225,0.046859,-1.579612,0.056149,3.463827,0.058969,-9.376501,-1.578318,3.464396,9.377342,1.58061,3.464329,'outdoor walk'
-9.391061,0.053552,-1.559206,0.064515,3.433828,0.078403,-9.389674,-1.55796,3.439248,9.391213,1.56054,3.434723,'outdoor walk'
-9.387394,0.052947,-1.555788,0.067956,3.447803,0.094238,-9.384884,-1.55796,3.466791,9.387543,1.557271,3.449091,'outdoor walk'
-9.453978,0.088957,-1.333342,0.155503,3.372367,0.151598,-9.447155,-1.336421,3.398533,9.454396,1.342379,3.375773,'outdoor walk'
-9.457018,0.06223,-1.382594,0.181213,3.320337,0.173385,-9.457932,-1.323847,3.382965,9.457223,1.39442,3.32486,'outdoor walk'
-9.423741,0.053341,-1.694069,0.087387,3.212734,0.077754,-9.424402,-1.692081,3.216511,9.423892,1.696322,3.213675,'outdoor walk'
-9.461958,0.081464,-1.507698,0.241372,3.208617,0.120352,-9.445957,-1.607058,3.230882,9.462309,1.526897,3.210874,'outdoor walk'
-9.476246,0.049576,-1.234676,0.080006,3.358881,0.072692,-9.477691,-1.23104,3.359015,9.476375,1.237265,3.359667,'outdoor walk'
-9.47971,0.090974,-1.308087,0.097279,3.312045,0.203489,-9.469907,-1.309477,3.35183,9.480147,1.311699,3.31829,'outdoor walk'
