@relation features_window_size_2000_extra_cols_True

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {hand_wash,not_hand_wash}

@data
-4.770419,2.057088,-6.122014,2.794496,-1.84436,7.108239,-4.692442,-5.843249,-3.117717,5.195047,6.729655,7.343618,hand_wash
-5.213137,1.496701,-6.050361,2.035753,-3.099487,4.905278,-5.369035,-6.187533,-4.343967,5.423736,6.383664,5.802462,hand_wash
-2.670641,1.753283,-6.870251,2.728816,-2.743128,5.307032,-2.627935,-6.965914,-4.43857,3.194734,7.392346,5.974056,hand_wash
-3.228811,1.581071,-7.041388,2.424055,-2.308163,4.769177,-3.006947,-7.40061,-3.887715,3.595137,7.446958,5.298365,hand_wash
-3.419952,1.26506,-7.018816,1.76875,-3.000785,4.143687,-3.154241,-7.091653,-4.410429,3.64643,7.23825,5.116137,hand_wash
-3.100565,2.383275,-7.069262,2.277764,-2.922296,4.266152,-3.078798,-7.056925,-4.705615,3.91069,7.427158,5.171061,hand_wash
-5.232599,2.019537,-4.264447,3.105304,-4.168293,7.304666,-5.133724,-3.82305,-6.178552,5.608799,5.275265,8.41028,hand_wash
-4.586987,2.420535,-4.543981,4.226891,-3.770106,6.971113,-4.586462,-4.941524,-4.172723,5.186467,6.205995,7.925284,hand_wash
-2.182469,1.944142,-7.455847,2.365036,-1.967282,5.141769,-2.548301,-7.361092,-3.606301,2.922817,7.821959,5.505269,hand_wash
-3.252015,1.320919,-7.66333,2.141237,-2.500661,3.810776,-3.099754,-7.883805,-3.275788,3.510047,7.956854,4.557996,hand_wash
-3.54741,1.335618,-6.845932,2.993014,-1.210115,4.98589,-3.308121,-7.57365,-2.963238,3.790513,7.471607,5.130641,hand_wash
-4.325112,1.937585,-6.010426,2.94569,-1.454234,6.448764,-4.400849,-5.767207,-1.103505,4.739286,6.693453,6.6107,hand_wash
-5.247139,1.359949,-4.985388,2.75147,-2.083564,5.536677,-5.600154,-4.683461,-4.583469,5.42051,5.694267,5.915744,hand_wash
