@relation features_window_size_4000_extra_cols_True_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
-4.163338,7.783423,-5.331172,3.467052,2.734265,2.578975,-7.718549,-4.986431,2.544708,8.82695,6.359391,3.758632,'outdoor walk'
-6.764489,7.688597,-4.744338,3.170999,2.477964,2.463755,-9.505832,-4.143983,2.494413,10.240744,5.706485,3.494338,'outdoor walk'
-10.217715,5.571061,-4.261472,3.172639,2.360866,2.164578,-10.747052,-3.72665,2.324965,11.637801,5.312794,3.202981,'outdoor walk'
-10.891762,6.089409,-4.353943,3.776787,2.386332,2.291692,-11.290721,-3.944597,2.271077,12.478436,5.763761,3.308539,'outdoor walk'
-11.401025,6.408001,-4.442032,4.095973,2.438746,2.453792,-12.160711,-4.044589,2.141746,13.07845,6.042239,3.459563,'outdoor walk'
-12.704831,4.087973,-4.287681,4.12242,2.605318,2.201022,-12.454102,-3.824846,2.221381,13.34632,5.947987,3.410598,'outdoor walk'
-11.940016,3.953772,-3.947635,3.72963,2.418676,2.087673,-11.458372,-3.384163,2.035767,12.577611,5.430835,3.195054,'outdoor walk'
-11.049441,3.262187,-3.155466,3.136514,2.321763,1.863707,-10.09381,-2.714755,1.956132,11.520938,4.449122,2.977244,'outdoor walk'
-10.288687,2.786184,-2.436837,2.655022,2.220468,1.749284,-9.840536,-2.335144,1.910627,10.659264,3.603792,2.826742,'outdoor walk'
-9.709288,2.563182,-1.726045,2.001209,2.141567,1.669148,-9.6178,-1.86093,1.861529,10.041921,2.642739,2.71521,'outdoor walk'
-9.735172,2.798065,-1.244786,1.855991,2.292953,1.750367,-9.788445,-1.359174,1.883683,10.129301,2.234769,2.884687,'outdoor walk'
-9.708795,3.086747,-1.221376,1.954977,2.366351,1.893174,-9.811796,-1.376537,1.899849,10.187675,2.305145,3.030467,'outdoor walk'
-9.425038,3.269158,-1.655849,2.597724,2.400486,2.031711,-9.499845,-1.525029,1.932781,9.975907,3.080585,3.144866,'outdoor walk'
-8.394531,3.531056,-3.099132,3.582098,2.744809,2.297593,-8.091574,-2.539918,2.25551,9.106948,4.73667,3.579512,'outdoor walk'
-7.538008,3.348757,-4.501614,3.776372,2.846476,2.323896,-7.22757,-4.082311,2.548301,8.248378,5.875842,3.674632,'outdoor walk'
-6.734678,2.940772,-5.927881,3.373165,2.976825,2.346482,-6.586902,-5.626499,2.805765,7.348743,6.820412,3.790444,'outdoor walk'
-6.201089,2.300746,-6.877174,2.562551,3.123322,2.19884,-6.294111,-6.397696,3.094365,6.614147,7.339087,3.81969,'outdoor walk'
-6.387146,2.179286,-6.851415,2.452715,2.938103,2.029355,-6.413862,-6.357579,2.992577,6.748697,7.277204,3.570816,'outdoor walk'
-6.426485,2.099224,-6.860896,2.357368,2.839698,2.046136,-6.416257,-6.393505,2.959047,6.760655,7.25459,3.50008,'outdoor walk'
-6.819926,3.065584,-6.725973,2.629412,2.67939,2.06736,-6.395301,-6.395301,2.751877,7.477246,7.22167,3.384244,'outdoor walk'
-7.925809,3.585517,-5.953252,3.009138,2.571832,1.965524,-7.453301,-5.80912,2.575844,8.699102,6.670541,3.236912,'outdoor walk'
-8.239252,5.052694,-5.30113,3.061401,2.42218,1.863178,-8.407716,-5.11157,2.380649,9.665143,6.121614,3.055877,'outdoor walk'
