@relation features_window_size_3000_extra_cols_True

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {hand_wash,not_hand_wash}

@data
1.591028,0.046561,-2.064797,0.048916,9.703528,0.048051,1.592688,-2.063309,9.70402,1.591709,2.065377,9.703647,not_hand_wash
2.811257,2.502131,-1.902864,1.241556,8.678527,2.245474,1.608256,-2.065704,9.684261,3.763486,2.272081,8.964317,not_hand_wash
3.228711,2.716277,-3.212939,2.822849,7.386036,2.564521,1.640588,-2.113605,8.475974,4.219328,4.276851,7.818587,not_hand_wash
3.000098,2.870231,-5.362138,3.512376,5.478994,2.264824,1.598675,-7.47785,4.970863,4.151965,6.410095,5.928643,not_hand_wash
0.029917,3.450426,-6.07753,3.092792,5.670191,2.026831,0.91849,-7.789801,5.124743,3.450556,6.819218,6.021554,not_hand_wash
0.267538,2.466651,-6.06788,3.506227,3.13437,5.634566,0.704136,-7.56407,4.221222,2.481118,7.008052,6.447683,not_hand_wash
1.460631,1.324881,-6.74667,3.030538,1.080406,5.657654,1.568139,-7.835306,-0.430505,1.971992,7.396061,5.75989,not_hand_wash
2.116525,2.009855,-6.777148,2.880079,0.115411,5.11342,1.96691,-7.932305,-1.137634,2.918766,7.363735,5.114722,not_hand_wash
2.035817,2.768774,-7.824483,1.466425,-1.914116,2.985376,2.15432,-7.9826,-1.482517,3.436664,7.960712,3.546309,not_hand_wash
0.868103,3.55274,-7.673922,1.947566,0.755315,4.088831,1.089734,-7.868837,-0.411943,3.657262,7.917203,4.158009,not_hand_wash
-0.28594,3.045707,-7.216876,2.411696,2.733578,4.929409,-0.314346,-7.268884,3.397934,3.0591,7.609177,5.636623,not_hand_wash
0.18735,2.818286,-7.009676,2.441662,1.930715,5.643627,0.655637,-6.955735,3.130889,2.824507,7.422753,5.964746,not_hand_wash
1.205373,2.948182,-6.635567,2.400232,-0.915107,5.799076,1.521436,-6.735394,-3.081791,3.185075,7.056335,5.870835,not_hand_wash
0.848618,3.179389,-6.269455,3.161148,-0.793362,5.719983,1.291514,-6.892267,-2.877017,3.290694,7.02132,5.774741,not_hand_wash
0.210814,3.139573,-5.805632,3.06171,2.615313,5.957649,0.501757,-6.199508,4.384084,3.146643,6.563493,6.506416,not_hand_wash
-0.598957,2.4933,-6.424598,3.162803,4.497085,4.371539,-0.257465,-7.20841,5.560637,2.564234,7.160921,6.271692,not_hand_wash
-1.105713,2.313758,-6.997294,2.421947,3.615116,4.824232,-0.576002,-7.395222,4.735552,2.564386,7.40459,6.028456,not_hand_wash
-1.741224,2.709163,-6.635277,4.00252,2.789349,4.687302,-1.774709,-7.819739,2.771636,3.22047,7.749004,5.454473,not_hand_wash
-2.317033,3.194462,-5.633593,3.820767,0.800648,6.150081,-2.271077,-6.0594,1.222657,3.946293,6.807028,6.201978,not_hand_wash
-4.82381,4.595628,-4.136537,3.876454,-0.20816,5.585375,-4.330794,-4.694238,-0.111967,6.662502,5.669024,5.589253,not_hand_wash
-3.418768,5.759015,-4.076819,4.079761,0.152872,5.496258,-2.977608,-4.567901,0.734672,6.69733,5.767574,5.498384,not_hand_wash
-2.606372,6.125187,-4.159847,4.444764,0.833564,5.255037,-1.514251,-3.795507,1.28373,6.656657,6.087713,5.320737,not_hand_wash
-0.426253,4.559784,-5.002637,4.300689,1.285323,5.945287,0.505948,-5.177433,3.292553,4.579663,6.597144,6.082638,not_hand_wash
-1.156688,4.24008,-5.678282,3.122494,1.66216,6.093559,-0.650847,-5.537884,4.050577,4.395021,6.480189,6.316189,not_hand_wash
-1.468225,4.092067,-5.355418,3.428778,4.155736,5.145346,-0.946631,-5.8187,5.352869,4.347493,6.359011,6.61398,not_hand_wash
-1.352503,4.2531,-5.209541,3.380401,5.433016,4.026643,-0.728685,-4.905599,5.874983,4.462973,6.210187,6.762508,not_hand_wash
-0.445959,4.193007,-4.130454,2.915087,6.544352,3.975513,2.071692,-3.262615,8.8963,4.216656,5.05553,7.657235,not_hand_wash
0.763749,3.629783,-3.68107,1.712189,7.760019,3.117435,2.359094,-3.211721,9.080716,3.709264,4.059786,8.362792,not_hand_wash
2.328387,0.15076,-3.19164,0.282242,9.132186,0.152433,2.332749,-3.247647,9.121432,2.333263,3.204095,9.133458,not_hand_wash
1.555627,1.318685,-2.86722,0.795715,9.32734,0.462328,2.239343,-3.233276,9.15137,2.03934,2.975587,9.338791,not_hand_wash
0.455517,1.574188,-2.608963,1.08701,9.513397,0.558662,-0.362845,-3.054249,9.374106,1.638769,2.826354,9.529786,not_hand_wash
-0.408225,1.006155,-2.584311,1.11897,9.634556,0.547226,-0.740061,-2.439926,9.737551,1.085816,2.81616,9.650084,not_hand_wash
-0.536587,0.522724,-3.047891,0.964614,9.520214,0.431242,-0.347278,-3.379373,9.451944,0.74911,3.196892,9.529976,not_hand_wash
-0.44837,0.406263,-3.227012,0.500033,9.487796,0.281306,-0.366438,-3.349435,9.461525,0.60505,3.265523,9.491965,not_hand_wash
-0.734152,0.488537,-2.616959,1.226244,9.634308,0.30256,-0.640668,-3.134482,9.541758,0.881843,2.890008,9.639058,not_hand_wash
-2.403683,3.223446,-2.058429,1.869804,8.473298,3.20923,-1.323847,-2.463876,9.636361,4.020982,2.78088,9.060681,not_hand_wash
-3.964235,5.539703,-2.129401,2.508968,6.048566,4.315506,-1.759142,-1.613046,9.445359,6.812009,3.290785,7.430259,not_hand_wash
-7.235992,6.077156,-2.493399,2.515022,3.328646,3.734049,-8.917257,-2.029779,2.380051,9.449413,3.541521,5.0023,not_hand_wash
-8.960337,5.722115,-2.673434,2.176291,1.905454,2.227759,-9.711206,-2.295027,1.696871,10.631568,3.447244,2.931496,not_hand_wash
-1.290945,5.009571,-5.319465,3.429163,3.751637,4.019406,0.212558,-6.271958,3.272195,5.173233,6.32897,5.498218,not_hand_wash
0.449672,3.87742,-4.295205,4.829094,5.045493,3.777806,1.075963,-6.521638,4.677473,3.903408,6.462889,6.30308,not_hand_wash
0.848985,2.722525,-0.638959,5.72358,7.337686,2.465755,1.014291,0.618514,7.788603,2.851827,5.759135,7.740904,not_hand_wash
-1.267838,2.748348,2.781197,4.317263,8.252523,1.895904,-0.257465,3.942801,8.64123,3.026687,5.135545,8.467502,not_hand_wash
-2.259335,2.68049,3.494402,3.563887,7.956661,2.804521,-3.095563,4.603826,8.377778,3.505656,4.991206,8.436456,not_hand_wash
-1.709371,3.257756,2.391209,4.151866,7.327292,4.032283,-2.60638,4.203858,8.619676,3.678984,4.791229,8.363523,not_hand_wash
0.93622,3.994144,-1.473881,5.692866,5.121874,4.586961,0.472418,0.88017,7.71795,4.102401,5.880565,6.875595,not_hand_wash
3.074526,3.181849,-4.891352,4.866009,3.397357,3.664855,4.729565,-7.480843,2.518363,4.424576,6.899519,4.997319,not_hand_wash
4.156688,0.960568,-7.856777,0.505087,2.357861,1.215089,4.652924,-7.786209,2.517764,4.266233,7.872996,2.652537,not_hand_wash
3.748207,0.780981,-8.113357,0.451111,2.161244,1.289926,3.72665,-8.230485,2.267485,3.828706,8.125889,2.51692,not_hand_wash
3.351101,0.500364,-8.338295,0.313751,2.170512,1.105065,3.535049,-8.366402,2.210004,3.388251,8.344196,2.43563,not_hand_wash
3.409487,0.346581,-8.417553,0.247328,1.777762,0.865173,3.499124,-8.417296,2.050137,3.427057,8.421186,1.97711,not_hand_wash
3.164548,0.323009,-8.474727,0.267324,2.129253,0.606471,3.065625,-8.505912,2.210603,3.18099,8.478942,2.213939,not_hand_wash
2.992624,0.231849,-8.521662,0.243603,2.200278,0.66461,2.937491,-8.558602,2.257306,3.001592,8.525143,2.298463,not_hand_wash
2.909971,0.335843,-7.541081,2.524789,3.447891,2.323651,2.895579,-8.465197,2.556683,2.929287,7.952513,4.157801,not_hand_wash
2.667171,0.494851,-5.945635,3.061648,5.581905,3.077263,2.785408,-7.81914,4.324806,2.712688,6.68762,6.373948,not_hand_wash
2.178788,0.784427,-4.26975,2.645851,7.782891,2.386811,2.396217,-4.370911,8.520881,2.315695,5.023076,8.140655,not_hand_wash
-0.097584,3.968807,-4.54835,2.470844,6.372964,3.816082,1.433419,-4.534969,8.162826,3.970007,5.176153,7.428132,not_hand_wash
-3.759955,5.117715,-3.863866,3.437335,3.981425,4.011662,-2.715952,-3.727848,2.247726,6.350454,5.171531,5.652007,not_hand_wash
-6.418997,4.236252,-4.112139,3.68074,0.607199,2.8965,-8.427475,-4.066743,0.719703,7.690862,5.518834,2.95946,not_hand_wash
-5.415238,4.474635,-3.261457,2.989603,2.86784,4.800171,-7.670649,-3.769761,1.790277,7.024753,4.424345,5.591614,not_hand_wash
-2.584796,4.04456,-4.094697,1.71504,5.398318,5.243049,-0.265847,-4.155359,8.9927,4.799962,4.439359,7.525383,not_hand_wash
-0.483222,1.794292,-4.089911,0.724786,8.742248,1.637999,-0.243094,-4.184099,9.031619,1.858221,4.153636,8.894377,not_hand_wash
-0.245376,0.042327,-4.218674,0.053798,9.015508,0.051347,-0.24549,-4.217629,9.014853,0.249,4.219017,9.015654,not_hand_wash
-0.245466,0.042254,-4.245756,0.055172,8.998233,0.052307,-0.24549,-4.246968,8.998089,0.249077,4.246114,8.998385,not_hand_wash
