@relation features_window_size_2000

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {hand_wash,not_hand_wash}

@data
4.049104,3.007817,-3.782507,3.313327,6.227581,2.41618,not_hand_wash
1.872891,1.906278,-7.255991,2.348698,4.903425,1.512074,not_hand_wash
-1.376973,3.039383,-6.121005,3.23552,5.592773,2.209557,not_hand_wash
0.249961,2.90572,-6.893134,3.047161,2.523775,5.017886,not_hand_wash
1.281705,1.540758,-6.133119,3.436519,3.212975,5.614464,not_hand_wash
1.060588,1.191557,-6.195572,3.333371,0.585413,6.195698,not_hand_wash
3.023442,1.705686,-7.957036,1.074131,-2.004663,2.100382,not_hand_wash
2.144485,3.361658,-7.749837,1.540014,-1.278807,3.051235,not_hand_wash
-0.812046,3.028166,-7.540735,2.306527,1.545269,4.799428,not_hand_wash
-0.459194,2.856722,-7.045627,2.572412,4.966878,3.543053,not_hand_wash
1.123356,2.557546,-6.753467,2.333463,0.484293,6.176129,not_hand_wash
1.424923,2.99645,-6.66877,2.355561,-3.927758,3.746711,not_hand_wash
0.532709,3.516274,-5.935296,3.511824,0.880762,5.753393,not_hand_wash
-0.368483,2.702255,-5.508565,3.262123,5.779923,4.095329,not_hand_wash
-0.74644,2.017893,-6.901485,2.315268,4.007912,4.73091,not_hand_wash
-1.442081,2.362293,-7.722789,2.354135,2.380467,4.384506,not_hand_wash
-2.081883,2.96613,-5.824583,4.495818,3.218319,5.044538,not_hand_wash
-2.563421,3.399069,-4.855933,4.083184,-0.213791,6.448453,not_hand_wash
-6.065961,4.678719,-3.97468,2.742536,-2.115796,4.758848,not_hand_wash
-3.734486,6.565613,-3.489423,4.728212,2.246655,4.290574,not_hand_wash
0.762736,4.174477,-4.890897,4.869829,1.348795,5.951029,not_hand_wash
-1.577189,4.514134,-5.363406,3.152706,-0.41712,6.090865,not_hand_wash
-1.559959,4.138582,-5.767075,2.944791,3.489549,5.353086,not_hand_wash
-0.800222,3.776074,-5.420068,3.692023,5.654415,3.921856,not_hand_wash
-1.870912,4.501943,-4.660295,3.442048,5.239164,4.310417,not_hand_wash
-0.026561,4.22846,-3.929629,2.042305,7.072472,3.625655,not_hand_wash
2.374157,0.152433,-3.127362,0.317711,9.144919,0.176024,not_hand_wash
