@relation features_window_size_1000_extra_cols_False_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
-8.994644,2.97106,-4.648364,2.031098,0.054839,1.130163,'outdoor walk'
-9.273416,3.282312,-4.369632,2.461578,1.124343,1.681976,'outdoor walk'
-8.910898,3.372354,-4.776504,3.101021,0.893649,2.434861,'outdoor walk'
-8.711642,5.309434,-4.776913,2.777653,1.978757,1.70696,'outdoor walk'
-10.045078,3.078757,-3.579861,1.945616,2.446957,1.989386,'outdoor walk'
-10.03041,2.904124,-3.38055,1.745131,2.469058,1.88577,'outdoor walk'
-6.728048,4.110453,-5.104446,3.21417,2.773675,2.297857,'outdoor walk'
-5.825158,5.911615,-5.111188,2.921858,0.923905,1.786201,'outdoor walk'
-9.381923,2.33676,-3.02123,0.973776,2.050989,1.079141,'outdoor walk'
-9.491528,2.386703,-2.704031,1.037005,1.767139,1.044097,'outdoor walk'
-6.02741,5.551031,-5.137453,2.915482,1.154181,1.342771,'outdoor walk'
0.627403,4.796738,-8.001748,2.576365,-0.066685,1.259969,'outdoor walk'
-9.312202,2.142688,-3.384589,0.892873,1.44169,1.018325,'outdoor walk'
-6.937546,4.798118,-4.726741,2.615255,1.018112,1.674159,'outdoor walk'
-4.748165,6.182455,-5.59299,2.897833,0.688602,1.937246,'outdoor walk'
-9.146471,2.189636,-3.622387,1.275987,2.659309,1.12005,'outdoor walk'
-9.355494,2.289507,-3.096979,0.941546,2.403972,1.118222,'outdoor walk'
-9.04336,2.807028,-3.217894,1.421178,2.792457,1.978196,'outdoor walk'
-5.165513,7.207995,-3.820673,3.497944,3.304056,3.364949,'outdoor walk'
-8.866055,3.248622,-3.09396,2.535528,2.246206,2.810924,'outdoor walk'
-9.21714,2.80538,-3.299444,2.395292,2.257606,1.810936,'outdoor walk'
-9.908694,2.847001,-3.158582,1.650165,2.084875,1.769397,'outdoor walk'
-9.648139,2.812085,-3.552692,1.927259,1.993133,1.549902,'outdoor walk'
-9.928665,2.70644,-3.415101,1.751108,2.048445,1.729371,'outdoor walk'
-9.456828,3.286226,-3.135894,1.767726,2.260811,1.647448,'outdoor walk'
-9.673707,2.740541,-2.847669,1.420397,2.440451,1.586042,'outdoor walk'
-10.045936,2.546385,-3.32176,2.27144,2.064987,2.152213,'outdoor walk'
-9.509309,2.444148,-2.96089,1.281792,1.900989,1.265185,'outdoor walk'
-9.856778,3.04258,-2.966526,2.476496,2.344026,2.050427,'outdoor walk'
-9.944066,2.556629,-2.948464,1.515055,2.632609,1.793651,'outdoor walk'
-10.26493,2.57187,-3.012554,1.928543,2.613977,1.980401,'outdoor walk'
-9.606116,2.713995,-2.978722,1.501877,2.812839,1.700193,'outdoor walk'
-9.633494,2.576293,-3.048935,1.735617,2.644346,1.698526,'outdoor walk'
-10.236992,3.035808,-2.660922,1.470389,2.70405,1.904214,'outdoor walk'
-10.018016,3.282546,-2.752094,1.803516,2.551606,1.876104,'outdoor walk'
-9.610854,3.223639,-2.802596,1.781214,2.208875,2.275596,'outdoor walk'
-10.129194,3.853539,-2.851395,2.08966,2.379684,2.312501,'outdoor walk'
-10.277256,5.71313,-3.04127,2.991488,2.327718,3.474341,'outdoor walk'
-9.980577,4.174731,-2.857589,2.149489,2.40219,2.12564,'outdoor walk'
-10.383256,4.816104,-3.006128,2.339082,2.57235,3.06636,'outdoor walk'
-10.693609,2.684856,-2.884538,1.986598,2.772744,2.758227,'outdoor walk'
-10.699077,2.66156,-3.179912,2.175069,2.421003,2.501482,'outdoor walk'
-10.444196,2.875944,-2.870897,2.389638,2.25025,2.358769,'outdoor walk'
-9.482691,3.193124,-3.4884,3.032826,2.167077,2.519293,'outdoor walk'
-10.011133,4.02048,-2.663201,1.906468,2.194373,2.00293,'outdoor walk'
-10.207422,3.041191,-2.746738,1.908692,2.460281,1.935327,'outdoor walk'
-10.643852,2.874073,-2.589217,1.961381,2.650927,2.321229,'outdoor walk'
-10.322691,3.275501,-2.843162,2.762354,2.661054,2.363077,'outdoor walk'
-10.325585,3.527346,-2.964034,2.469588,2.609967,2.184357,'outdoor walk'
-8.517128,4.384238,-2.549921,2.918298,3.825487,3.594327,'outdoor walk'
-10.976808,3.180597,-2.820889,2.131692,2.536044,2.145671,'outdoor walk'
-10.438764,2.89223,-2.853832,2.432807,3.099264,2.59763,'outdoor walk'
-8.753115,4.419776,-2.719906,3.250827,3.706694,3.368691,'outdoor walk'
0.265511,5.077316,-6.927606,2.832095,2.933276,3.279737,'indoor walk'
-6.362845,5.583677,-6.300014,3.637345,2.99091,2.857218,'indoor walk'
-9.786567,1.954828,-3.596842,1.613788,2.794866,1.416146,'indoor walk'
-9.772722,2.096904,-3.404574,1.606928,2.806502,1.480083,'indoor walk'
-10.016143,2.720368,-3.423185,1.966604,2.730262,1.554479,'indoor walk'
-2.995663,8.990886,-3.000067,2.932858,2.957117,1.80864,'indoor walk'
-7.970133,6.014476,-3.795643,1.946371,2.446565,1.671133,'indoor walk'
-9.609497,2.732568,-3.693297,2.157749,2.677383,1.74984,'indoor walk'
-8.959421,1.715476,-3.236971,2.30933,0.117052,3.004065,'indoor walk'
-7.420788,0.193819,-5.820251,0.215927,2.933659,0.265971,'indoor walk'
-7.428485,0.129615,-5.876663,0.144484,2.7635,0.223,'indoor walk'
-7.46199,0.190347,-5.870137,0.285337,2.650506,0.246576,'indoor walk'
-7.776974,0.087098,-5.39705,0.073292,2.905262,0.174525,'indoor walk'
-7.801646,0.106488,-5.302452,0.10423,3.046956,0.148325,'indoor walk'
-7.791603,0.101327,-5.271788,0.081876,3.145583,0.164704,'indoor walk'
-7.75232,0.140605,-5.304992,0.182867,3.173748,0.166633,'indoor walk'
-7.821741,0.097077,-5.158401,0.10162,3.294054,0.166448,'indoor walk'
-7.822336,0.093683,-5.098332,0.095892,3.425662,0.176949,'indoor walk'
-7.870395,0.106252,-4.999672,0.109936,3.48274,0.140039,'indoor walk'
-8.093001,0.486434,-4.623242,0.705337,3.416349,0.363325,'indoor walk'
-5.562753,3.05418,-6.26599,2.295509,3.457803,0.797548,'indoor walk'
-1.432102,0.183871,-9.180966,0.169193,2.234823,0.136269,'indoor walk'
-1.277206,0.13444,-9.272821,0.157869,1.756174,0.208929,'indoor walk'
-1.294502,0.193038,-9.281678,0.169499,1.666099,0.194977,'indoor walk'
-1.470132,0.138552,-9.24033,0.158956,1.830727,0.167385,'indoor walk'
-4.683554,3.087355,-7.394795,2.24318,1.863838,1.044311,'indoor walk'
4.89745,3.967029,-2.372294,5.643534,4.151645,2.559369,'indoor walk'
1.680013,1.790397,-6.829225,1.94003,5.616213,2.845229,'indoor walk'
-2.158854,6.013164,-4.64506,1.308484,5.528917,3.292876,'indoor walk'
-9.248386,1.681305,-3.860807,1.098319,2.015462,1.309236,'indoor walk'
-9.324811,1.410345,-3.424112,0.968724,1.474273,1.381317,'indoor walk'
-9.329073,0.231081,-3.146614,0.207087,1.347367,0.409833,'indoor walk'
-9.227053,0.12972,-3.350382,0.1433,1.4846,0.148682,'indoor walk'
-9.185786,0.187866,-3.239724,0.494037,1.959205,0.586906,'indoor walk'
-9.246113,0.115575,-2.976234,0.359674,2.298256,0.263309,'indoor walk'
-9.144314,0.458969,-3.412348,0.440521,1.86987,0.665648,'indoor walk'
-2.738022,5.57253,-5.353344,2.331629,0.154584,4.790478,'indoor walk'
2.798378,1.387267,-6.341493,1.012659,-5.589734,1.307206,'indoor walk'
3.155999,1.389529,-6.206497,0.998369,-5.60479,1.274957,'indoor walk'
3.097349,0.977559,-5.541625,0.950829,-6.405184,1.025029,'indoor walk'
2.529142,0.725239,-6.040747,1.098505,-6.179508,1.070831,'indoor walk'
0.712011,2.281006,-7.254422,2.134831,-1.022922,5.066332,'indoor walk'
-1.369636,0.836737,-9.246151,0.525087,1.3156,1.045439,'indoor walk'
-4.211752,1.738335,-8.042438,1.11659,2.878191,0.988156,'indoor walk'
-5.616876,0.384157,-7.119429,0.361355,3.768027,0.219937,'indoor walk'
-5.476712,0.331131,-7.098527,0.260021,4.030439,0.228543,'indoor walk'
-5.310027,0.333929,-7.252339,0.343422,3.965166,0.274719,'indoor walk'
