@relation features_window_size_3000_extra_cols_True_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
-9.39911,0.058629,-1.557817,0.07706,3.398462,0.104275,-9.398057,-1.556763,3.40931,9.399292,1.559721,3.400062,'outdoor walk'
-9.385508,0.055489,-1.570628,0.072636,3.439812,0.085332,-9.384884,-1.571133,3.451223,9.385672,1.572307,3.440871,'outdoor walk'
-9.385226,0.051542,-1.564869,0.063939,3.448486,0.07949,-9.383686,-1.565145,3.456013,9.385368,1.566174,3.449402,'outdoor walk'
-9.410811,0.073906,-1.482779,0.148844,3.417999,0.117233,-9.405242,-1.523232,3.435656,9.411101,1.49023,3.420009,'outdoor walk'
-9.432797,0.076781,-1.423908,0.172181,3.380169,0.152905,-9.426797,-1.446592,3.413502,9.433109,1.434281,3.383626,'outdoor walk'
-9.444912,0.071433,-1.470002,0.216932,3.301813,0.155291,-9.441167,-1.465752,3.314707,9.445183,1.485922,3.305462,'outdoor walk'
-9.447572,0.068844,-1.528121,0.222013,3.247229,0.139783,-9.441167,-1.603466,3.242856,9.447823,1.544164,3.250237,'outdoor walk'
-9.453982,0.066866,-1.478814,0.244316,3.260077,0.116141,-9.450748,-1.576522,3.262017,9.454218,1.49886,3.262146,'outdoor walk'
-9.472638,0.07648,-1.350154,0.194979,3.293181,0.155991,-9.466314,-1.305286,3.319497,9.472947,1.36416,3.296873,'outdoor walk'
-9.423293,0.151496,-1.362667,0.357242,3.432431,0.288978,-9.450748,-1.310076,3.387755,9.424511,1.408717,3.444574,'outdoor walk'
-9.336338,0.169857,-1.538978,0.378871,3.579739,0.323744,-9.284293,-1.690884,3.701503,9.337883,1.584928,3.594349,'outdoor walk'
-9.243666,0.145424,-1.670322,0.362062,3.770755,0.287162,-9.22801,-1.733994,3.790119,9.24481,1.709112,3.781674,'outdoor walk'
-9.201546,0.082759,-1.746862,0.14556,3.856382,0.168306,-9.202863,-1.756747,3.844006,9.201919,1.752916,3.860053,'outdoor walk'
-9.307242,1.38056,-1.663678,1.121351,3.615458,1.323375,-9.195678,-1.735192,3.858376,9.409076,2.006303,3.850046,'outdoor walk'
-9.430289,2.0394,-1.630361,1.934144,3.277746,2.060391,-9.188493,-1.738784,3.772156,9.64829,2.529623,3.871541,'outdoor walk'
-9.61403,2.553293,-1.539736,2.387394,2.918258,2.649709,-9.326805,-1.169368,2.482438,9.947305,2.840851,3.941724,'outdoor walk'
-9.669347,2.616135,-1.490618,2.606396,2.83969,2.753239,-9.641151,-0.934058,2.113605,10.017007,3.002539,3.955271,'outdoor walk'
-9.637264,2.732295,-1.535138,2.592255,2.858089,2.668079,-9.757309,-0.968187,2.154919,10.0171,3.012712,3.9099,'outdoor walk'
-8.990085,3.234923,-2.080488,2.884487,3.146795,2.58422,-8.975935,-1.647773,2.509382,9.554389,3.5565,4.071917,'outdoor walk'
-4.960303,7.3503,-3.717291,4.707786,4.144684,4.628022,-6.274951,-2.829117,3.432662,8.867441,5.998459,6.212648,'outdoor walk'
-8.09216,6.150863,-3.723552,3.584743,2.397098,2.613902,-8.613089,-2.964435,2.129172,10.164456,5.168677,3.546627,'outdoor walk'
-9.189583,4.71,-2.978341,2.700283,2.375263,1.966055,-8.82864,-2.716551,2.205813,10.326303,4.020204,3.083382,'outdoor walk'
-9.619412,3.69865,-2.754717,2.219179,2.355942,1.936221,-8.864566,-2.605781,2.210004,10.305974,3.537403,3.049494,'outdoor walk'
-8.66803,4.69674,-3.582335,3.384508,1.889731,2.609024,-8.466394,-2.895579,2.068099,9.858707,4.928288,3.221505,'outdoor walk'
-7.325886,6.282115,-4.016532,3.855363,1.776289,2.92547,-8.156837,-3.161426,1.914219,9.650574,5.567437,3.42251,'outdoor walk'
-7.111817,6.456644,-4.448954,4.117895,2.00129,3.266387,-7.889793,-3.692521,2.084865,9.60553,6.062199,3.830724,'outdoor walk'
-8.254103,5.82044,-3.745936,3.229438,2.754923,2.581022,-8.773556,-3.278183,2.629133,10.099888,4.945837,3.775086,'outdoor walk'
-7.003225,5.663601,-3.891551,3.31974,3.328013,3.521445,-7.694,-3.350632,2.638114,9.006749,5.115158,4.84523,'outdoor walk'
-8.707291,4.006524,-4.326341,2.440359,1.51801,2.225479,-8.466394,-3.939208,1.138233,9.58484,4.96715,2.693902,'outdoor walk'
-9.194349,3.163889,-4.330183,2.290594,1.177008,1.939172,-8.417296,-4.114644,0.798739,9.723489,4.898704,2.268422,'outdoor walk'
-9.059653,3.216913,-4.598166,2.574724,0.690944,1.885773,-8.402926,-4.525389,0.534688,9.613836,5.269947,2.008368,'outdoor walk'
-8.965319,4.102791,-4.641016,2.7989,1.33225,2.026892,-8.811876,-4.485872,1.265768,9.859504,5.419675,2.425527,'outdoor walk'
-9.222539,4.085597,-4.377759,2.712445,1.773121,2.16562,-9.112451,-4.13081,1.722019,10.086988,5.149964,2.798905,'outdoor walk'
-9.59571,3.969687,-3.912441,2.286707,2.298257,1.878019,-9.283095,-3.555407,2.060914,10.384415,4.531691,2.967986,'outdoor walk'
-8.934512,3.746613,-4.021619,2.512663,2.56323,2.070476,-8.693322,-3.701503,2.305206,9.688272,4.742035,3.294999,'outdoor walk'
-7.527872,4.83317,-4.532062,2.822683,2.055546,2.159792,-8.195159,-3.993695,1.85135,8.945859,5.339206,2.981605,'outdoor walk'
-7.31171,4.623842,-4.412288,2.751907,1.91619,1.947074,-8.120314,-3.681744,1.822011,8.65107,5.200123,2.731827,'outdoor walk'
-8.23287,4.274171,-3.61215,2.158847,1.580678,1.429744,-8.521479,-3.154241,1.6352,9.276243,4.208116,2.131364,'outdoor walk'
-8.300287,4.071269,-3.620905,2.162085,1.657437,1.221734,-8.547825,-3.172802,1.666934,9.244999,4.217293,2.059061,'outdoor walk'
-4.963845,6.121332,-5.281078,3.176839,0.951545,1.44034,-7.623946,-4.129612,0.940045,7.88102,6.162961,1.726273,'outdoor walk'
-4.90407,6.047161,-5.50793,2.988861,0.843062,1.379654,-7.64131,-4.448749,0.770598,7.78576,6.266625,1.616848,'outdoor walk'
-5.207449,5.902245,-5.371026,2.918685,0.797706,1.487479,-7.799381,-4.144581,0.80293,7.871087,6.112826,1.687877,'outdoor walk'
-6.999304,5.041717,-4.568107,2.483981,1.049468,1.620469,-8.21312,-3.694318,1.193917,8.626075,5.199784,1.930623,'outdoor walk'
-6.944061,5.023671,-4.647373,2.504411,1.455341,1.829284,-8.178393,-3.748804,1.684298,8.57072,5.279218,2.337583,'outdoor walk'
-7.750043,4.538643,-4.104119,2.189004,1.917294,1.688686,-8.390352,-3.448828,2.158511,8.981228,4.651401,2.554932,'outdoor walk'
-9.181775,2.447198,-3.31242,1.249777,2.618579,1.471523,-8.619077,-3.103347,2.484234,9.502303,3.540349,3.003721,'outdoor walk'
-7.854789,5.032344,-3.378516,2.268805,2.833495,2.373055,-8.299341,-3.11113,2.377057,9.328569,4.069625,3.695955,'outdoor walk'
-7.691643,5.163199,-3.377509,2.644903,2.780907,2.810526,-7.969428,-3.190765,2.348915,9.263908,4.289881,3.953795,'outdoor walk'
-7.749569,5.178692,-3.404692,2.868368,2.602623,2.783388,-7.881411,-3.284171,2.250121,9.320659,4.451906,3.810629,'outdoor walk'
-9.33063,3.005106,-3.183995,2.229458,2.196229,2.185575,-8.576565,-3.014731,2.084266,9.802618,3.886941,3.098413,'outdoor walk'
-9.591324,2.835922,-3.336906,2.021102,2.111872,1.717412,-8.839418,-3.060835,1.958527,10.001798,3.901255,2.722041,'outdoor walk'
-9.828499,2.792075,-3.375458,1.787341,2.042151,1.686016,-9.132209,-3.006947,1.850751,10.217391,3.819464,2.648213,'outdoor walk'
-9.677877,2.952093,-3.367896,1.825355,2.100796,1.647922,-9.027427,-3.054847,1.990261,10.118111,3.83075,2.670017,'outdoor walk'
-9.6864,2.929518,-3.132888,1.670306,2.249902,1.663065,-9.007668,-2.819537,2.12558,10.119704,3.550339,2.797828,'outdoor walk'
-9.72549,2.885104,-3.101774,1.863326,2.255416,1.819539,-9.156159,-2.848277,2.193239,10.144407,3.618423,2.897866,'outdoor walk'
-9.742984,2.589703,-3.04344,1.726515,2.135476,1.722518,-9.124426,-2.728526,2.03876,10.081284,3.499054,2.743597,'outdoor walk'
-9.804008,2.699592,-3.083059,2.083342,2.103334,1.87415,-9.280701,-2.79858,2.028582,10.168892,3.720963,2.817171,'outdoor walk'
-9.770051,2.700204,-2.958627,1.832265,2.292541,1.760089,-9.157956,-2.73152,2.118395,10.136321,3.480038,2.89027,'outdoor walk'
-10.021925,2.738646,-2.975848,2.012451,2.530204,1.948982,-9.447754,-2.715353,2.363286,10.389377,3.592441,3.193816,'outdoor walk'
-9.938371,2.628923,-2.979913,1.660558,2.686475,1.830661,-9.229208,-2.797383,2.521955,10.280197,3.411354,3.250918,'outdoor walk'
-9.834847,2.639154,-3.013404,1.731063,2.690387,1.800054,-9.163944,-2.820734,2.565066,10.182796,3.475224,3.237033,'outdoor walk'
-9.825534,2.797231,-2.896193,1.582776,2.720412,1.771654,-9.110056,-2.746489,2.617756,10.215949,3.300472,3.246444,'outdoor walk'
-9.962834,2.989715,-2.82065,1.684182,2.633334,1.829626,-9.275312,-2.609374,2.499802,10.401753,3.2852,3.206552,'outdoor walk'
-9.955287,3.192962,-2.738537,1.692901,2.488177,2.037381,-9.308843,-2.539319,2.305805,10.454796,3.21955,3.21589,'outdoor walk'
-9.919355,3.472063,-2.802028,1.897103,2.380055,2.168294,-9.216035,-2.574646,2.158511,10.509463,3.383839,3.219652,'outdoor walk'
-10.005768,4.401756,-2.89842,2.346643,2.305426,2.745444,-9.238788,-2.671046,2.063309,10.931187,3.729286,3.585031,'outdoor walk'
-10.129009,4.653386,-2.916751,2.446716,2.369864,2.704316,-9.275312,-2.63991,2.076482,11.146785,3.80708,3.595773,'outdoor walk'
