@relation tmpv34f85xp

@attribute 146417812 numeric
@attribute -0.0371228 numeric
@attribute -6.4102697 numeric
@attribute 7.4556956 numeric

@data
146419398,-0.183219,-7.671247,7.032975
146419408,-0.128134,-7.673643,7.103628
146419418,-0.204774,-7.501201,7.076085
146419428,-0.171244,-7.209009,6.886878
146419438,-0.178429,-6.78509,6.636599
146419448,-0.182021,-6.707252,6.613846
146419458,-0.237107,-6.72761,6.522836
146419468,-0.144899,-6.949149,6.355185
146419478,-0.170046,-7.232959,6.358777
146419488,-0.162861,-7.549101,6.513256
146419498,-0.201182,-7.719148,6.524033
146419508,-0.168849,-7.635322,6.786288
146419518,-0.123344,-7.392228,6.652167
146419528,-0.199984,-7.135961,6.635402
146419538,-0.232317,-6.810238,6.495293
146419548,-0.349673,-6.661747,6.537206
146419558,-0.368833,-6.679709,6.567143
146419568,-0.292192,-6.659352,6.664142
146419578,-0.276625,-6.919211,6.815028
146419588,-0.356858,-6.997049,6.829398
146419598,-0.342488,-7.147936,6.795868
146419608,-0.411943,-7.162306,6.856941
146419618,-0.389191,-7.242539,7.038962
146419628,-0.387993,-7.151528,7.00184
146419638,-0.306563,-7.085665,6.949149
146419648,-0.290995,-6.941964,7.005432
146419658,-0.364043,-6.753955,6.985074
146419668,-0.319735,-6.609057,6.983877
146419678,-0.380808,-6.533613,7.031777
146419688,-0.494572,-6.576724,6.968309
146419698,-0.380808,-6.611452,7.01142
146419708,-0.281415,-6.837781,7.009025
146419718,-0.28381,-7.119196,6.976692
146419728,-0.324525,-7.260502,7.01142
146419738,-0.290995,-7.370673,7.114406
146419748,-0.271835,-7.30002,7.132368
146419758,-0.296982,-7.289242,7.151528
146419768,-0.223934,-7.01142,7.004235
146419778,-0.249082,-6.895261,6.981482
146419788,-0.183219,-6.768325,6.880891
146419798,-0.225132,-6.706055,6.970705
146419808,-0.221539,-6.77072,6.801856
146419818,-0.210762,-6.880891,6.850954
146419828,-0.173639,-7.01621,6.872509
146419838,-0.161664,-7.110813,6.951544
146419848,-0.225132,-7.155121,6.882089
146419858,-0.156874,-7.013815,6.882089
146419868,-0.26465,-6.941964,6.841373
146419878,-0.27902,-6.77072,6.801856
146419887,-0.227527,-6.76593,6.647377
146419897,-0.183219,-6.773115,6.725215
146419907,-0.144899,-6.848558,6.710845
146419917,-0.234712,-6.897656,6.753955
146419927,-0.26465,-6.999445,6.77072
146419937,-0.119751,-7.135961,6.769523
146419947,-0.220342,-7.145541,6.842571
146419957,-0.191602,-7.005432,6.818621
146419967,-0.116158,-6.965914,6.782695
146419977,-0.244292,-6.781498,6.836583
146419987,-0.335303,-6.78509,6.677314
146419997,-0.377216,-6.625822,6.582711
146420007,-0.417931,-6.646179,6.589896
146420017,-0.391586,-6.556366,6.744375
146420027,-0.413141,-6.612649,6.625822
146420037,-0.517324,-6.606661,6.696475
146420047,-0.585582,-6.531218,6.571934
146420057,-0.700543,-6.225853,6.428232
146420067,-0.809517,-5.592371,6.179151
146420077,-0.948428,-5.357659,5.660629
146420087,-1.049019,-4.973258,5.24629
146420097,-1.150807,-4.627178,5.249883
146420107,-1.336421,-4.309838,4.804409
146420117,-1.399889,-3.67875,4.291875
146420127,-1.684896,-3.241659,3.285967
146420137,-1.795067,-3.43326,1.592688
146420147,-1.783092,-3.968547,0.234712
146420157,-1.525627,-4.973258,-1.368754
146420167,-1.055006,-6.163583,-2.513573
146420177,-0.416733,-7.272477,-3.147056
146420187,0.188009,-8.156239,-3.405718
146420197,0.702938,-8.931027,-3.566184
146420207,0.920885,-10.347682,-4.58766
146420217,1.157992,-12.631333,-4.787644
146420227,1.531615,-13.881534,-3.396138
146420237,1.959126,-13.943804,-1.926793
146420247,2.023792,-13.324691,-1.441802
146420257,1.81782,-12.225377,-1.695674
146420267,1.208287,-10.803933,-2.866839
146420277,0.32692,-9.57888,-4.475094
146420287,-0.403561,-9.041199,-5.859415
146420297,-0.831072,-9.319021,-6.667734
146420307,-0.874182,-10.165661,-6.489306
146420317,-0.511337,-11.114088,-6.043832
146420327,0.083826,-11.25779,-5.52052
146420337,0.62989,-11.078163,-5.308561
146420347,0.674198,-10.546469,-5.372029
146420357,0.480201,-9.910591,-5.915698
146420367,0.123344,-9.412427,-6.399492
146420377,0.120948,-8.954978,-6.752758
146420387,-0.008383,-8.759784,-6.904841
146420397,0.102986,-8.835227,-6.759943
146420407,0.235909,-8.771759,-6.478528
146420416,0.111368,-8.637638,-5.79954
146420426,-0.124541,-8.620873,-5.609136
146420436,-0.221539,-8.916657,-6.064189
146420446,-0.037123,-8.986114,-6.229446
146420456,0.335303,-8.887918,-6.667734
146420466,0.556842,-8.309521,-6.725215
146420476,0.749641,-8.037685,-6.973099
146420486,0.750839,-7.835306,-7.28086
146420496,0.34129,-7.133566,-6.064189
146420506,-0.621508,-6.586304,-4.461921
146420516,-1.310076,-6.937174,-3.978127
146420526,-1.833387,-7.301217,-4.29427
146420536,-1.961521,-8.199349,-5.075047
146420546,-1.329236,-8.532257,-5.775589
146420556,0.079036,-8.234077,-6.1552
146420566,1.317261,-7.453301,-6.222261
146420576,2.021396,-6.397097,-6.665339
146420586,2.100432,-5.560038,-6.326444
146420596,2.283651,-4.570895,-4.269122
146420606,2.137555,-4.515809,0.641865
146420616,0.953218,-6.017487,8.467591
146420626,-2.39502,-8.270002,8.392148
146420636,-4.988826,-9.842333,4.278702
