815462403,-4.2104445,-8.104746,3.453618
815462413,-4.2930727,-7.923922,3.432063
815462423,-4.331393,-7.984995,3.4763708
815462523,-4.5122166,-8.123906,3.3673975
815462533,-4.4080334,-8.184979,3.354225
815462543,-4.5517344,-8.143066,3.4033227
815462553,-4.4810815,-8.111931,3.429668
815462563,-4.484674,-7.8329115,3.3182995
815462573,-4.5696974,-7.6233473,3.37099
815462583,-4.6619053,-7.3515124,3.2548316
815462593,-4.707411,-7.35271,3.1111305
815462603,-4.8582973,-7.4544983,2.999762
815462613,-4.780459,-7.4964113,3.0380824
815462623,-4.702621,-7.3275623,3.0991552
815462633,-4.670288,-7.2832546,2.899171
815462643,-4.550537,-7.1347632,2.7279272
815462653,-4.5792775,-7.019802,2.618954
815462663,-4.702621,-6.8701134,2.4656725
815462673,-4.7541137,-6.6066613,2.2213807
815462683,-4.8942223,-6.363567,1.839375
815462693,-4.958888,-6.212681,1.3687537
815462703,-4.9385304,-6.2318406,0.8705896
815462713,-4.93374,-6.2593837,0.6095325
815462723,-4.996011,-6.3288393,-0.1472937
815462733,-4.9133825,-6.5060706,-0.5065466
815462743,-5.1361194,-6.9922595,-1.0837463
815462753,-5.264253,-7.5443115,-1.5064673
815462763,-5.5588403,-8.092771,-1.6154407
815462773,-5.812712,-8.626861,-1.9866687
815462783,-5.980364,-8.565787,-2.242936
815462793,-6.0414367,-8.361013,-2.753075
815462803,-5.9145007,-8.125104,-3.3566198
815462813,-5.5995555,-8.199349,-3.739823
815462823,-5.3480787,-8.29515,-4.1781116
815462833,-5.21276,-8.343051,-4.3685155
815462842,-5.310956,-8.056846,-4.543352
815462852,-5.612728,-7.9011693,-4.8307543
815462862,-5.892946,-7.865244,-4.7601013
815462872,-5.9935365,-7.877219,-4.9301476
815462882,-6.023474,-7.6425076,-5.1552796
815462892,-5.988746,-7.0904555,-5.278623
815462902,-5.845045,-6.575526,-5.621111
815462912,-5.703739,-6.307284,-5.948031
815462922,-5.757627,-6.1767554,-5.9779687
815462932,-5.8270826,-5.9468336,-6.1420274
815462942,-5.6881714,-5.4678297,-6.199508
815462952,-5.7276893,-5.2091675,-6.357579
815462962,-5.757627,-5.1145644,-6.243816
815462972,-5.645061,-5.0403185,-6.2881236
815462982,-5.630691,-4.877457,-6.307284
815462992,-5.7684045,-4.8103967,-6.2965064
815463002,-5.583988,-4.6247826,-6.4246397
815463012,-5.2882032,-4.27511,-6.525231
815463022,-5.102589,-4.00567,-6.6749196
815463032,-4.863087,-3.923042,-6.589896
815463042,-4.8966174,-3.984115,-6.644982
815463052,-4.9624805,-3.9577699,-6.581514
815463062,-4.932543,-3.8990917,-6.627019
815463072,-4.8283596,-3.8344262,-6.683302
815463082,-4.91937,-4.01525,-6.75635
815463092,-4.8918276,-3.9649549,-6.7120423
815463102,-4.975653,-3.9146595,-6.6892896
815463112,-4.9061975,-3.857179,-6.6006737
815463122,-4.8475194,-3.8140686,-6.667734
815463132,-4.8331494,-3.737428,-6.603069
815463142,-4.916975,-3.6751575,-6.701265
815463152,-4.8403344,-3.8260436,-6.6330066
815463162,-4.7385464,-3.810476,-6.582711
815463172,-4.798422,-3.7146752,-6.5503783
815463182,-4.797224,-3.617677,-6.514453
815463192,-4.693041,-3.5039136,-6.546786
815463202,-4.712201,-3.5350487,-6.5156507
